date,positive_total,recovered_total,deceased_total,tested_pcr_total,tested_ag_total,positive_daily,recovered_daily,deceased_daily,tested_pcr_daily,tested_ag_daily,tested_total,tested_daily,positive_ratio,active
2021-10-21,1723383,1669000,30652,11297691,28414830,3644,987,10,41862,60337,39712521,102199,0.035655926183230754,23731
2021-10-22,1727622,1669970,30666,11343080,28508081,4239,970,14,45389,93251,39851161,138640,0.030575591459896134,26986
2021-10-23,1730378,1670446,30679,11373156,28543396,2756,476,13,30076,35315,39916552,65391,0.04214647275618969,29253
2021-10-24,1732216,1670981,30699,11390310,28571519,1838,535,20,17154,28123,39961829,45277,0.04059456236058043,30536
2021-10-25,1736502,1672597,30719,11430738,28635947,4286,1616,20,40428,64428,40066685,104856,0.04087510490577554,33186
2021-10-26,1742791,1673971,30735,11492405,28689282,6289,1374,16,61667,53335,40181687,115002,0.054686005460774595,38085
2021-10-27,1748655,1675523,30757,11556661,28768050,5864,1552,22,64256,78768,40324711,143024,0.041000111869336615,42375
2021-10-28,1753011,1677078,30783,11598896,28799970,4356,1555,26,42235,31920,40398866,74155,0.05874182455667184,45150
2021-10-29,1758765,1678881,30809,11643848,28886954,5754,1803,26,44952,86984,40530802,131936,0.04361205432937182,49075
2021-10-30,1763823,1679704,30832,11681898,28919114,5058,823,23,38050,32160,40601012,70210,0.07204101979774961,53287
2021-10-31,1766610,1680666,30863,11706567,28957174,2787,962,31,24669,38060,40663741,62729,0.044429211369542,55081
2021-11-01,1774220,1684093,30894,11770799,29006359,7610,3427,31,64232,49185,40777158,113417,0.06709752506238043,59233
2021-11-02,1784157,1687299,30929,11830912,29040045,9937,3206,35,60113,33686,40870957,93799,0.10593929572809944,65929
2021-11-03,1793637,1690819,30974,11873756,29078149,9480,3520,45,42844,38104,40951905,80948,0.11711222019073973,71844
2021-11-04,1802112,1694432,31019,11917447,29120505,8475,3613,45,43691,42356,41037952,86047,0.09849268423071113,76661
2021-11-05,1811361,1698576,31076,11967844,29186327,9249,4144,57,50397,65822,41154171,116219,0.07958251232586755,81709
2021-11-06,1817103,1700640,31126,12002954,29223071,5742,2064,50,35110,36744,41226025,71854,0.07991204386672976,85337
